/workspace/bot/bot.py:185: PTBUserWarning: If 'per_message=False', 'CallbackQueryHandler' will not be tracked for every message. Read this FAQ entry to learn more about the per_* settings: https://github.com/python-telegram-bot/python-telegram-bot/wiki/Frequently-Asked-Questions#what-do-the-per_-settings-in-conversationhandler-do.
  conv = ConversationHandler(
2025-08-09 03:03:45,901 INFO Starting polling...
2025-08-09 03:03:46,165 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getMe "HTTP/1.1 200 OK"
2025-08-09 03:03:46,249 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/deleteWebhook "HTTP/1.1 200 OK"
2025-08-09 03:03:46,249 INFO Application started
2025-08-09 03:03:56,514 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:04:06,600 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:04:16,054 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:04:16,437 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/sendMessage "HTTP/1.1 200 OK"
2025-08-09 03:04:18,096 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:04:18,186 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/answerCallbackQuery "HTTP/1.1 200 OK"
2025-08-09 03:04:18,287 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/editMessageText "HTTP/1.1 200 OK"
2025-08-09 03:04:28,185 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:04:38,271 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:04:48,359 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:04:58,445 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:05:08,530 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:05:18,617 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:05:28,702 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:05:38,787 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:05:48,872 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:05:58,956 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:06:09,043 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:06:19,128 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:06:29,214 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:06:39,300 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:06:49,386 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:06:59,471 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:07:09,556 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:07:19,642 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:07:29,728 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:07:39,813 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:07:49,903 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:07:59,987 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:08:10,074 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:08:20,160 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:08:30,244 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:08:40,331 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:08:50,416 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:09:00,501 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:09:10,588 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:09:20,673 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:09:30,759 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:09:40,845 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:09:50,931 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:10:01,020 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:10:11,109 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:10:21,194 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:10:31,279 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:10:41,364 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:10:51,453 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:11:01,538 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:11:11,630 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:11:21,715 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
2025-08-09 03:11:31,800 INFO HTTP Request: POST https://api.telegram.org/bot7744986521:AAGNwbXza2iKAFjd528XfSkoZPrakw1dr9w/getUpdates "HTTP/1.1 200 OK"
